program,axis,A68,D130,WT,AVPOX_mean,delta_vs_WT
0,Biotic,0.0331,0.0435,0.1186,0.0383,-0.0803
0,Biotic.Hormone,0.0889,0.0355,0.1016,0.062200000000000005,-0.03939999999999999
0,Cold,-0.0514,0.0678,0.1034,0.008199999999999999,-0.0952
0,Drought,-0.0433,0.1912,0.1253,0.07395,-0.05134999999999999
0,Drought.Light,0.0088,-0.0348,0.0769,-0.012999999999999998,-0.0899
0,FarRed,-0.0639,0.1094,-0.0276,0.02275,0.05035
0,FeDeficiency,0.0761,-0.0126,0.099,0.03175,-0.06725
0,Genotoxic,-0.0097,-0.0116,0.0065,-0.01065,-0.01715
0,Heat,0.1361,0.0547,0.0825,0.0954,0.012899999999999995
0,Herbicide,-0.0268,-0.1088,0.1423,-0.0678,-0.2101
0,Hormone,0.1238,0.0671,0.2589,0.09545000000000001,-0.16345
0,Hypoxia,0.2301,0.1746,0.1674,0.20235,0.03495000000000001
0,Light,0.0707,-0.1361,0.0624,-0.0327,-0.09509999999999999
0,LowPH,0.079,0.0575,0.1097,0.06825,-0.04145
0,Nitrogen,0.0737,0.0458,0.1225,0.05975,-0.06275
0,Osmotic,-0.0432,0.1236,0.1445,0.0402,-0.10429999999999999
0,Radiation,-0.0524,0.0536,-0.0302,0.0005999999999999998,0.0308
0,Salt,-0.0196,0.143,0.1064,0.06169999999999999,-0.044700000000000004
0,UV,0.0317,-0.1544,0.1162,-0.06135,-0.17754999999999999
0,Wounding,0.0407,0.0528,0.1271,0.04675,-0.08034999999999999
1,Biotic,0.1139,0.1227,0.1802,0.1183,-0.0619
1,Biotic.Hormone,0.0425,0.0597,0.1205,0.051100000000000007,-0.06939999999999999
1,Cold,0.059,0.0267,0.0234,0.04285,0.01945
1,Drought,0.0761,0.032,0.0548,0.05405,-0.0007500000000000007
1,Drought.Light,0.1089,0.0425,0.0506,0.0757,0.025100000000000004
1,FarRed,0.0968,0.1927,0.1514,0.14475,-0.006650000000000017
1,FeDeficiency,0.0614,-0.0214,0.0102,0.020000000000000004,0.009800000000000003
1,Genotoxic,0.0927,0.0949,0.1282,0.0938,-0.034400000000000014
1,Heat,0.0117,0.0361,0.0198,0.0239,0.0040999999999999995
1,Herbicide,-0.0072,-0.0148,0.0195,-0.011,-0.0305
1,Hormone,0.1282,0.1432,0.1289,0.1357,0.0068000000000000005
1,Hypoxia,0.0934,-0.0046,0.0378,0.044399999999999995,0.006599999999999995
1,Light,0.0298,-0.0318,0.0088,-0.0010000000000000009,-0.009800000000000001
1,LowPH,0.093,0.0167,-0.053,0.054849999999999996,0.10785
1,Nitrogen,0.0724,-0.0354,0.087,0.018500000000000003,-0.06849999999999999
1,Osmotic,0.1452,0.1258,0.1298,0.1355,0.005700000000000011
1,Radiation,-0.0023,0.0123,0.0648,0.005,-0.0598
1,Salt,0.1038,0.0596,0.0414,0.0817,0.040299999999999996
1,UV,0.1094,0.0902,0.1577,0.0998,-0.05790000000000001
1,Wounding,0.1564,0.1274,0.1799,0.14190000000000003,-0.03799999999999998
2,Biotic,-0.0156,-0.0852,0.1589,-0.0504,-0.2093
2,Biotic.Hormone,-0.103,-0.1871,0.0606,-0.14504999999999998,-0.20565
2,Cold,0.0512,-0.0299,-0.0242,0.010650000000000001,0.03485
2,Drought,0.0546,0.0608,-0.0646,0.0577,0.1223
2,Drought.Light,0.0256,0.0004,0.1385,0.013000000000000001,-0.1255
2,FarRed,0.1781,0.1612,0.0641,0.16965000000000002,0.10555000000000002
2,FeDeficiency,-0.1366,-0.1379,-0.0385,-0.13724999999999998,-0.09874999999999998
2,Genotoxic,0.1262,0.076,0.2488,0.1011,-0.1477
2,Heat,0.0047,0.0338,0.0277,0.01925,-0.00845
2,Herbicide,0.0577,-0.0745,0.133,-0.008399999999999998,-0.1414
2,Hormone,0.0809,-0.1133,-0.0139,-0.0162,-0.0023
2,Hypoxia,0.1856,0.0145,-0.1495,0.10005,0.24955
2,Light,-0.1283,-0.1726,-0.0074,-0.15045,-0.14305
2,LowPH,-0.0577,-0.1009,-0.0669,-0.07930000000000001,-0.012400000000000008
2,Nitrogen,0.1447,0.019,0.0668,0.08184999999999999,0.015049999999999994
2,Osmotic,0.148,0.1314,0.0781,0.1397,0.06159999999999999
2,Radiation,0.1218,0.024,0.0762,0.0729,-0.0032999999999999974
2,Salt,0.1508,0.0394,0.0623,0.09509999999999999,0.03279999999999999
2,UV,0.0013,-0.0681,0.1318,-0.0334,-0.1652
2,Wounding,0.081,-0.061,0.0289,0.010000000000000002,-0.018899999999999997
3,Biotic,0.1236,0.1534,0.3991,0.1385,-0.2606
3,Biotic.Hormone,0.1594,0.0322,0.2526,0.0958,-0.1568
3,Cold,0.0459,0.031,0.2169,0.03845,-0.17845
3,Drought,0.0249,-0.0676,0.1011,-0.021349999999999997,-0.12244999999999999
3,Drought.Light,-0.0248,-0.0273,0.1475,-0.02605,-0.17354999999999998
3,FarRed,0.0458,0.0192,0.0304,0.0325,0.002100000000000001
3,FeDeficiency,-0.0536,-0.0783,-0.0334,-0.06595,-0.032549999999999996
3,Genotoxic,-0.0036,0.1284,0.2801,0.06239999999999999,-0.21770000000000003
3,Heat,0.1183,-0.0525,0.1397,0.0329,-0.10679999999999999
3,Herbicide,0.0363,0.1652,0.2906,0.10075,-0.18985000000000002
3,Hormone,0.1433,0.0994,0.3589,0.12135000000000001,-0.23754999999999998
3,Hypoxia,0.0611,0.1005,0.2318,0.08080000000000001,-0.151
3,Light,0.0571,-0.0094,0.0847,0.02385,-0.06085
3,LowPH,0.0646,0.0057,0.1942,0.03515,-0.15905000000000002
3,Nitrogen,0.0771,-0.0257,0.1789,0.0257,-0.1532
3,Osmotic,0.0919,0.0821,0.286,0.087,-0.19899999999999998
3,Radiation,0.0566,0.124,0.0823,0.09029999999999999,0.007999999999999993
3,Salt,0.0293,0.0719,0.3443,0.050600000000000006,-0.29369999999999996
3,UV,0.1119,0.2768,0.3353,0.19435,-0.14095
3,Wounding,0.1065,0.0549,0.2203,0.0807,-0.1396
4,Biotic,0.2569,0.1935,0.2621,0.2252,-0.03689999999999999
4,Biotic.Hormone,0.048,-0.0032,0.2634,0.0224,-0.24100000000000002
4,Cold,0.137,0.0474,0.0578,0.0922,0.03440000000000001
4,Drought,-0.0059,-0.0956,0.001,-0.05075,-0.051750000000000004
4,Drought.Light,-0.1585,-0.2312,-0.0208,-0.19485,-0.17404999999999998
4,FarRed,0.3264,0.2563,0.1702,0.29135,0.12115000000000001
4,FeDeficiency,0.0232,-0.0514,0.0315,-0.014100000000000001,-0.0456
4,Genotoxic,0.1111,0.0211,0.0099,0.0661,0.05620000000000001
4,Heat,0.0703,-0.0261,0.0074,0.0221,0.014700000000000001
4,Herbicide,0.0124,-0.0039,0.1365,0.00425,-0.13225
4,Hormone,0.0813,-0.0613,0.1368,0.009999999999999998,-0.1268
4,Hypoxia,0.1188,0.0889,0.1563,0.10385,-0.05245
4,Light,-0.142,-0.221,-0.2167,-0.1815,0.03520000000000001
4,LowPH,0.0782,0.0505,-0.0359,0.06435,0.10025
4,Nitrogen,-0.08,-0.0474,0.1885,-0.0637,-0.2522
4,Osmotic,0.1509,-0.0008,-0.0526,0.07505,0.12765
4,Radiation,0.239,0.2239,0.2061,0.23145,0.025349999999999984
4,Salt,0.1038,-0.0185,-0.0076,0.04265,0.05025
4,UV,-0.14,-0.2049,-0.1585,-0.17245,-0.01394999999999999
4,Wounding,0.1913,0.0181,0.1715,0.1047,-0.06680000000000001
5,Biotic,-0.1144,-0.0059,0.0389,-0.06015,-0.09905
5,Biotic.Hormone,-0.0456,0.0421,0.0784,-0.0017500000000000016,-0.08015
5,Cold,0.2148,-0.0107,-0.0255,0.10205,0.12755
5,Drought,0.1666,-0.0169,0.0143,0.07485,0.06055
5,Drought.Light,0.1586,0.0732,-0.0003,0.1159,0.1162
5,FarRed,0.0282,-0.0348,-0.0642,-0.003299999999999999,0.060899999999999996
5,FeDeficiency,0.1401,-0.0354,0.0281,0.05235,0.02425
5,Genotoxic,0.0474,0.0858,0.0772,0.06659999999999999,-0.010600000000000012
5,Heat,0.0083,0.0024,-0.0013,0.00535,0.00665
5,Herbicide,0.03,-0.0501,0.0246,-0.01005,-0.03465
5,Hormone,0.1682,0.0662,0.052,0.1172,0.06520000000000001
5,Hypoxia,0.311,0.0257,-0.0312,0.16835,0.19955
5,Light,0.0999,0.0155,-0.1295,0.0577,0.1872
5,LowPH,0.1346,0.0037,0.0985,0.06915,-0.02935
5,Nitrogen,-0.0215,-0.0704,0.0909,-0.045950000000000005,-0.13685
5,Osmotic,0.1271,-0.0003,-0.0487,0.0634,0.1121
5,Radiation,0.0484,0.0343,-0.0011,0.04135,0.042449999999999995
5,Salt,0.1432,-0.0805,-0.0101,0.031349999999999996,0.041449999999999994
5,UV,-0.042,-0.0527,-0.0763,-0.04735,0.028950000000000004
5,Wounding,0.0691,0.0697,0.0986,0.06939999999999999,-0.029200000000000004
6,Biotic,0.0433,0.023,0.1186,0.03315,-0.08545
6,Biotic.Hormone,0.0362,0.0084,0.1139,0.0223,-0.0916
6,Cold,0.0829,0.0096,-0.0221,0.04625,0.06835
6,Drought,0.0549,0.0651,0.0041,0.06,0.0559
6,Drought.Light,0.0335,0.0311,0.0155,0.0323,0.016800000000000002
6,FarRed,0.0026,-0.0141,0.0831,-0.00575,-0.08885
6,FeDeficiency,-0.0176,-0.0623,-0.0105,-0.03995,-0.029449999999999997
6,Genotoxic,-0.0101,-0.0262,0.1907,-0.01815,-0.20885
6,Heat,0.0506,0.0461,0.0113,0.048350000000000004,0.03705000000000001
6,Herbicide,-0.0564,-0.0696,0.0049,-0.063,-0.0679
6,Hormone,0.126,0.0591,0.0923,0.09255,0.0002500000000000002
6,Hypoxia,0.0843,0.0563,0.0106,0.0703,0.0597
6,Light,0.0036,-0.0234,0.0357,-0.0099,-0.0456
6,LowPH,0.0038,0.0392,0.0261,0.0215,-0.004600000000000003
6,Nitrogen,0.0474,-0.0384,0.0006,0.0045000000000000005,0.0039000000000000007
6,Osmotic,0.0782,0.0622,0.0973,0.0702,-0.0271
6,Radiation,-0.0829,-0.0895,0.0371,-0.0862,-0.12329999999999999
6,Salt,0.0308,0.0221,0.0561,0.02645,-0.029649999999999996
6,UV,0.0967,0.0704,0.1983,0.08355,-0.11475
6,Wounding,0.1583,0.0792,0.1142,0.11875,0.0045499999999999985
7,Biotic,-0.1323,0.0588,0.1804,-0.036750000000000005,-0.21715
7,Biotic.Hormone,-0.1489,0.0286,0.1783,-0.06015,-0.23845
7,Cold,0.0088,0.0021,0.1055,0.00545,-0.10005
7,Drought,-0.0094,0.0664,0.0666,0.0285,-0.03810000000000001
7,Drought.Light,0.0811,-0.0165,0.0401,0.0323,-0.0077999999999999944
7,FarRed,0.0094,0.045,-0.0849,0.0272,0.1121
7,FeDeficiency,-0.0025,-0.026,0.0804,-0.014249999999999999,-0.09465
7,Genotoxic,-0.059,0.0111,0.0624,-0.02395,-0.08635
7,Heat,0.1493,-0.0293,-0.0489,0.06,0.1089
7,Herbicide,-0.0292,0.0324,0.0,0.001599999999999999,0.001599999999999999
7,Hormone,-0.0137,0.0067,0.1086,-0.0035,-0.1121
7,Hypoxia,0.2209,0.0787,0.057,0.14980000000000002,0.09280000000000002
7,Light,0.207,-0.1772,-0.1057,0.014899999999999997,0.1206
7,LowPH,0.1715,-0.019,0.0658,0.07625000000000001,0.010450000000000015
7,Nitrogen,0.1087,-0.0147,0.1397,0.047,-0.09269999999999999
7,Osmotic,-0.0329,-0.0326,0.0359,-0.03275,-0.06865
7,Radiation,-0.0633,-0.0203,0.069,-0.0418,-0.11080000000000001
7,Salt,0.0077,-0.0918,0.0511,-0.042050000000000004,-0.09315000000000001
7,UV,0.1741,-0.1304,0.0396,0.02185000000000001,-0.017749999999999995
7,Wounding,0.0408,0.0034,0.0394,0.0221,-0.017299999999999996
8,Biotic,-0.0754,0.1355,0.1218,0.030050000000000007,-0.09175
8,Biotic.Hormone,-0.0213,-0.1168,0.063,-0.06905,-0.13205
8,Cold,-0.0387,-0.2832,-0.2586,-0.16095,0.09764999999999999
8,Drought,-0.0971,-0.0028,0.1538,-0.04995,-0.20375
8,Drought.Light,-0.3027,-0.3217,-0.1667,-0.31220000000000003,-0.14550000000000005
8,FarRed,0.2033,0.2057,0.1367,0.20450000000000002,0.06780000000000003
8,FeDeficiency,0.0212,0.1028,0.1936,0.062,-0.1316
8,Genotoxic,0.1262,0.1568,0.3581,0.14150000000000001,-0.21659999999999996
8,Heat,0.1379,0.3588,0.044,0.24835000000000002,0.20435000000000003
8,Herbicide,-0.1657,-0.113,-0.0399,-0.13935,-0.09945000000000001
8,Hormone,-0.1653,0.1125,0.1926,-0.0264,-0.219
8,Hypoxia,0.2864,0.2701,0.1054,0.27825,0.17285
8,Light,-0.1865,-0.4369,-0.3828,-0.3117,0.0711
8,LowPH,-0.0936,0.1568,0.1144,0.031599999999999996,-0.08280000000000001
8,Nitrogen,0.183,0.1499,0.3633,0.16645,-0.19685000000000002
8,Osmotic,-0.0429,0.1063,0.2604,0.031700000000000006,-0.22870000000000001
8,Radiation,0.1687,0.0326,0.075,0.10064999999999999,0.025649999999999992
8,Salt,-0.1158,-0.0372,0.0296,-0.0765,-0.1061
8,UV,-0.2344,-0.0868,0.1998,-0.1606,-0.3604
8,Wounding,-0.1134,0.0046,-0.0125,-0.054400000000000004,-0.04190000000000001
9,Biotic,0.1091,0.2748,0.0321,0.19195,0.15985000000000002
9,Biotic.Hormone,0.1714,0.1216,0.0869,0.1465,0.059599999999999986
9,Cold,0.1203,0.0525,0.0041,0.0864,0.0823
9,Drought,0.1374,0.0961,-0.0218,0.11674999999999999,0.13855
9,Drought.Light,0.0833,0.026,0.0185,0.05465,0.03615
9,FarRed,0.0122,0.0234,0.1477,0.0178,-0.1299
9,FeDeficiency,0.3151,0.0986,-0.0686,0.20684999999999998,0.27545
9,Genotoxic,0.1333,0.128,0.101,0.13065,0.029649999999999982
9,Heat,-0.0126,0.0357,-0.1423,0.011550000000000001,0.15385000000000001
9,Herbicide,0.1424,0.095,0.0514,0.1187,0.0673
9,Hormone,0.226,0.0606,-0.1012,0.1433,0.2445
9,Hypoxia,0.4093,0.1128,-0.0696,0.26105,0.33065
9,Light,-0.0424,0.0102,-0.1137,-0.0161,0.09759999999999999
9,LowPH,0.1862,0.0597,-0.3403,0.12295,0.46325
9,Nitrogen,0.1232,-0.0265,-0.0885,0.048350000000000004,0.13685
9,Osmotic,0.262,0.1737,0.0044,0.21785,0.21345
9,Radiation,0.1365,0.1374,0.0801,0.13695000000000002,0.05685000000000001
9,Salt,0.2757,0.0964,-0.2647,0.18605,0.45075
9,UV,0.0626,0.1824,-0.0364,0.1225,0.15889999999999999
9,Wounding,0.0653,0.1213,0.1395,0.0933,-0.04620000000000002
10,Biotic,-0.1535,0.148,0.1646,-0.0027500000000000024,-0.16735
10,Biotic.Hormone,-0.1481,0.1614,0.1512,0.006649999999999989,-0.14455
10,Cold,-0.1735,-0.0045,0.1271,-0.089,-0.2161
10,Drought,-0.1124,0.1713,0.1525,0.029450000000000004,-0.12304999999999999
10,Drought.Light,0.0554,0.0216,0.0534,0.0385,-0.014900000000000004
10,FarRed,-0.0894,0.0171,-0.0189,-0.036149999999999995,-0.017249999999999995
10,FeDeficiency,-0.0111,0.0345,0.0146,0.011700000000000002,-0.002899999999999998
10,Genotoxic,-0.1278,-0.0101,0.0247,-0.06895,-0.09365
10,Heat,0.1017,0.0047,0.0427,0.0532,0.010499999999999995
10,Herbicide,-0.074,0.0786,0.0012,0.0023000000000000034,0.0011000000000000035
10,Hormone,-0.0509,0.0906,0.1922,0.01985,-0.17235
10,Hypoxia,0.1004,0.0016,0.0331,0.051000000000000004,0.017900000000000006
10,Light,0.1374,-0.1783,0.0097,-0.020449999999999996,-0.030149999999999996
10,LowPH,0.1746,-0.0119,0.0435,0.08135,0.03785000000000001
10,Nitrogen,0.0425,0.0461,0.1416,0.044300000000000006,-0.0973
10,Osmotic,-0.1077,0.1169,0.1513,0.0046,-0.1467
10,Radiation,-0.117,0.0317,0.0015,-0.04265000000000001,-0.04415000000000001
10,Salt,-0.0542,-0.0113,0.0754,-0.03275,-0.10815
10,UV,0.0895,-0.0738,0.0714,0.007849999999999996,-0.06355000000000001
10,Wounding,-0.1035,0.015,0.1354,-0.04425,-0.17964999999999998
11,Biotic,0.2447,0.0548,0.1142,0.14975,0.03555
11,Biotic.Hormone,0.0829,-0.1396,0.1766,-0.02835,-0.20495000000000002
11,Cold,0.0134,-0.0434,0.2545,-0.015,-0.2695
11,Drought,-0.0788,-0.0587,0.112,-0.06875,-0.18075000000000002
11,Drought.Light,0.1648,-0.0105,0.3274,0.07715,-0.25025000000000003
11,FarRed,0.059,0.0011,-0.0759,0.030049999999999997,0.10594999999999999
11,FeDeficiency,-0.0538,-0.1881,-0.1484,-0.12095,0.027450000000000002
11,Genotoxic,0.3431,0.0921,0.2052,0.21760000000000002,0.012400000000000022
11,Heat,0.1023,-0.1802,-0.1103,-0.03895,0.07135
11,Herbicide,0.2204,0.1542,0.0528,0.18730000000000002,0.1345
11,Hormone,0.2063,0.0911,0.2574,0.1487,-0.10870000000000002
11,Hypoxia,0.2867,0.0843,0.1602,0.1855,0.02529999999999999
11,Light,0.2058,-0.0238,0.246,0.091,-0.155
11,LowPH,-0.0323,-0.1223,-0.1162,-0.07730000000000001,0.03889999999999999
11,Nitrogen,0.2527,0.2008,0.2549,0.22675,-0.02815000000000001
11,Osmotic,0.2405,0.1138,0.1627,0.17715,0.01444999999999999
11,Radiation,0.2455,0.1812,0.1836,0.21334999999999998,0.02974999999999997
11,Salt,0.1243,-0.0132,0.1043,0.055549999999999995,-0.04875000000000001
11,UV,0.4235,0.1475,0.1717,0.2855,0.11379999999999998
11,Wounding,0.1504,0.1174,0.2317,0.13390000000000002,-0.09779999999999997
