sample,genotype,plant,condition,day,n_roots,n_primary,n_lateral,total_length_native,primary_length_native,total_length_px,mean_diameter_px,resolution_px_per_unit,unit
A68_a12_FL_3,A68,a12,FL,3,1,1,0,40.1241,40.1241,598.52,18.078,37.888332,inch
A68_a12_FL_4,A68,a12,FL,4,8,1,7,81.6848,55.3834,1218.46,10.662,37.888332,inch
A68_a12_FL_5,A68,a12,FL,5,12,1,11,352.3875,55.3834,5256.45,12.839,37.888332,inch
A68_a12_FL_6,A68,a12,FL,6,15,1,14,590.9712,69.9844,9173.57,10.584,37.888332,inch
A68_a4_GC_3,A68,a4,GC,3,1,1,0,77.1696,77.1696,1151.11,36.488,37.888332,inch
A68_a4_GC_4,A68,a4,GC,4,1,1,0,111.0192,111.0192,1656.04,34.516,37.888332,inch
A68_a4_GC_5,A68,a4,GC,5,1,1,0,121.8972,121.8972,1818.3,8.146,37.888332,inch
A68_a4_GC_6,A68,a4,GC,6,2,2,0,148.8189,148.8189,2416.75,17.338,37.888332,inch
A68_b12_GC_3,A68,b12,GC,3,1,1,0,44.3046,44.3046,660.88,44.661,37.888332,inch
A68_b12_GC_4,A68,b12,GC,4,1,1,0,79.3145,79.3145,1183.11,28.324,37.888332,inch
A68_b12_GC_5,A68,b12,GC,5,1,1,0,87.4686,87.4686,1304.74,23.957,37.888332,inch
A68_b12_GC_6,A68,b12,GC,6,1,1,0,123.5529,123.5529,1843.0,15.166,37.888332,inch
A68_b2_FL_3,A68,b2,FL,3,1,1,0,70.2628,70.2628,1048.09,28.419,37.888332,inch
A68_b2_FL_4,A68,b2,FL,4,30,1,29,509.1222,97.1524,7594.41,9.73,37.888332,inch
A68_b2_FL_5,A68,b2,FL,5,33,1,32,1152.1357,107.8634,17186.02,11.414,37.888332,inch
A68_b2_FL_6,A68,b2,FL,6,34,1,33,1447.4854,115.7922,22741.85,11.901,37.888332,inch
A68_b4_FL_3,A68,b4,FL,3,1,1,0,148.2419,148.2419,2211.27,31.073,37.888332,inch
A68_b4_FL_4,A68,b4,FL,4,29,1,28,588.7397,226.0752,8782.03,10.642,37.888332,inch
A68_b4_FL_5,A68,b4,FL,5,33,1,32,1071.2234,245.8137,15979.08,8.175,37.888332,inch
A68_b4_FL_6,A68,b4,FL,6,61,1,60,1761.1613,272.2997,26270.65,8.835,37.888332,inch
A68_b8_FL_3,A68,b8,FL,3,1,1,0,112.9882,112.9882,1685.41,14.151,37.888332,inch
A68_b8_FL_4,A68,b8,FL,4,20,1,19,387.4417,135.2029,6803.73,9.919,37.888332,inch
A68_b8_FL_5,A68,b8,FL,5,22,1,21,519.8981,147.9091,8689.48,9.461,37.888332,inch
A68_b8_FL_6,A68,b8,FL,6,65,1,64,1541.6038,226.2852,22995.59,8.757,37.888332,inch
A68_c2_GC_4,A68,c2,GC,4,1,1,0,31.6878,31.6878,472.68,24.695,37.888332,inch
A68_c2_GC_5,A68,c2,GC,5,1,1,0,40.1073,40.1073,598.27,28.545,37.888332,inch
A68_c2_GC_6,A68,c2,GC,6,1,1,0,64.7517,64.7517,965.88,31.004,37.888332,inch
A68_d12_FL_3,A68,d12,FL,3,1,1,0,136.0328,136.0328,2029.16,17.504,37.888332,inch
A68_d12_FL_4,A68,d12,FL,4,20,1,19,349.6345,193.687,5215.38,11.984,37.888332,inch
A68_d12_FL_5,A68,d12,FL,5,26,2,24,637.9648,222.647,9717.94,13.967,37.888332,inch
A68_d12_FL_6,A68,d12,FL,6,30,1,29,1003.5228,228.5743,15071.25,12.106,37.888332,inch
A68_d12_GC_3,A68,d12,GC,3,1,1,0,57.9614,57.9614,864.59,34.333,37.888332,inch
A68_d12_GC_4,A68,d12,GC,4,1,1,0,102.9867,102.9867,1536.22,28.448,37.888332,inch
A68_d12_GC_5,A68,d12,GC,5,1,1,0,121.807,121.807,1816.95,28.006,37.888332,inch
A68_d12_GC_6,A68,d12,GC,6,15,1,14,237.86,165.9805,3557.82,8.946,37.888332,inch
A68_d8_GC_3,A68,d8,GC,3,1,1,0,67.9924,67.9924,1014.22,25.93,37.888332,inch
A68_d8_GC_4,A68,d8,GC,4,1,1,0,106.3237,106.3237,1586.0,21.794,37.888332,inch
A68_d8_GC_5,A68,d8,GC,5,8,1,7,171.5191,139.3485,2558.49,11.241,37.888332,inch
A68_d8_GC_6,A68,d8,GC,6,36,1,35,501.0315,175.1666,7473.72,6.886,37.888332,inch
D130_a11_FL_3,D130,a11,FL,3,1,1,0,113.9821,113.9821,1700.23,21.913,37.888332,inch
D130_a11_FL_4,D130,a11,FL,4,22,3,19,279.2986,143.593,4166.2,9.446,37.888332,inch
D130_a11_FL_5,D130,a11,FL,5,56,1,55,1077.7862,182.7532,16170.56,9.804,37.888332,inch
D130_a11_FL_6,D130,a11,FL,6,61,1,60,1689.4481,212.3458,25342.4,9.219,37.888332,inch
D130_a11_GC_3,D130,a11,GC,3,1,1,0,74.129,74.129,1105.76,30.136,37.888332,inch
D130_a11_GC_4,D130,a11,GC,4,1,1,0,110.4054,110.4054,1646.88,27.39,37.888332,inch
D130_a11_GC_5,D130,a11,GC,5,1,1,0,102.9806,102.9806,1786.67,28.324,37.888332,inch
D130_a11_GC_6,D130,a11,GC,6,21,1,20,275.7487,143.2678,4113.25,9.285,37.888332,inch
D130_a1_GC_3,D130,a1,GC,3,1,1,0,56.3412,56.3412,840.42,31.06,37.888332,inch
D130_a1_GC_4,D130,a1,GC,4,1,1,0,103.0929,103.0929,1537.8,32.205,37.888332,inch
D130_a1_GC_5,D130,a1,GC,5,1,1,0,103.9477,103.9477,1734.97,29.868,37.888332,inch
D130_a1_GC_6,D130,a1,GC,6,1,1,0,150.4569,150.4569,2244.31,28.574,37.888332,inch
D130_a6_FL_3,D130,a6,FL,3,1,1,0,65.2677,65.2677,973.58,33.948,37.888332,inch
D130_a6_FL_4,D130,a6,FL,4,9,1,8,285.5394,160.6352,4259.3,14.008,37.888332,inch
D130_a6_FL_5,D130,a6,FL,5,17,1,16,660.3419,191.0584,10154.72,16.04,37.888332,inch
D130_a6_FL_6,D130,a6,FL,6,22,1,21,1253.1331,253.1056,19190.13,17.17,37.888332,inch
D130_a7_FL_3,D130,a7,FL,3,1,1,0,75.9207,75.9207,1132.48,26.788,37.888332,inch
D130_a7_FL_4,D130,a7,FL,4,1,1,0,75.9207,75.9207,1132.48,26.788,37.888332,inch
D130_a7_FL_5,D130,a7,FL,5,27,1,26,477.1472,133.5935,7117.45,11.347,37.888332,inch
D130_a7_FL_6,D130,a7,FL,6,32,1,31,1112.4665,141.2387,16613.84,12.707,37.888332,inch
D130_b11_FL_3,D130,b11,FL,3,1,1,0,103.9642,103.9642,1550.8,25.166,37.888332,inch
D130_b11_FL_4,D130,b11,FL,4,35,1,34,325.294,126.8327,4916.5,7.646,37.888332,inch
D130_b11_FL_5,D130,b11,FL,5,56,1,55,1012.889,147.9875,15108.93,8.518,37.888332,inch
D130_b11_FL_6,D130,b11,FL,6,62,2,60,1518.3139,163.8629,22767.28,8.132,37.888332,inch
D130_b11_GC_3,D130,b11,GC,3,1,1,0,64.4111,64.4111,960.8,33.398,37.888332,inch
D130_b11_GC_4,D130,b11,GC,4,1,1,0,118.3185,118.3185,1764.92,25.695,37.888332,inch
D130_b11_GC_5,D130,b11,GC,5,1,1,0,142.2815,142.2815,2122.37,29.673,37.888332,inch
D130_b11_GC_6,D130,b11,GC,6,1,1,0,171.7687,171.7687,2562.22,22.844,37.888332,inch
D130_b1_GC_3,D130,b1,GC,3,1,1,0,28.2905,28.2905,422.0,29.308,37.888332,inch
D130_b1_GC_4,D130,b1,GC,4,1,1,0,66.4746,66.4746,991.58,21.416,37.888332,inch
D130_b1_GC_5,D130,b1,GC,5,1,1,0,84.1554,84.1554,1255.32,23.429,37.888332,inch
D130_b1_GC_6,D130,b1,GC,6,1,1,0,125.2689,125.2689,1868.59,22.276,37.888332,inch
D130_b6_GC_3,D130,b6,GC,3,1,1,0,61.9415,61.9415,923.96,30.344,37.888332,inch
D130_b6_GC_4,D130,b6,GC,4,1,1,0,96.6702,96.6702,1442.0,30.059,37.888332,inch
D130_b6_GC_5,D130,b6,GC,5,1,1,0,101.4052,101.4052,1607.37,26.314,37.888332,inch
D130_b6_GC_6,D130,b6,GC,6,15,1,14,189.04,134.1825,2819.85,8.395,37.888332,inch
D130_c11_FL_3,D130,c11,FL,3,1,1,0,53.4095,53.4095,796.69,14.712,37.888332,inch
D130_c11_FL_4,D130,c11,FL,4,15,1,14,200.2863,96.3967,2987.6,9.047,37.888332,inch
D130_c11_FL_5,D130,c11,FL,5,19,1,18,580.8459,122.2234,8664.28,10.347,37.888332,inch
D130_c11_FL_6,D130,c11,FL,6,19,1,18,744.9469,132.1014,11112.13,10.726,37.888332,inch
D130_c11_GC_3,D130,c11,GC,3,1,1,0,48.1733,48.1733,718.59,24.076,37.888332,inch
D130_c11_GC_4,D130,c11,GC,4,1,1,0,87.6938,87.6938,1308.1,15.898,37.888332,inch
D130_c11_GC_5,D130,c11,GC,5,1,1,0,100.1847,100.1847,1494.42,22.44,37.888332,inch
D130_c11_GC_6,D130,c11,GC,6,23,1,22,259.2547,130.2494,3867.22,8.635,37.888332,inch
D130_c6_GC_3,D130,c6,GC,3,1,1,0,76.5232,76.5232,1141.47,25.675,37.888332,inch
D130_c6_GC_4,D130,c6,GC,4,1,1,0,107.3381,107.3381,1883.67,23.816,37.888332,inch
D130_c6_GC_5,D130,c6,GC,5,1,1,0,134.9127,134.9127,2012.45,19.926,37.888332,inch
D130_c6_GC_6,D130,c6,GC,6,12,1,11,234.6643,180.8514,3500.41,9.605,37.888332,inch
D130_c7_GC_4,D130,c7,GC,4,1,1,0,24.0929,24.0929,359.39,38.085,37.888332,inch
D130_c7_GC_5,D130,c7,GC,5,1,1,0,35.5389,35.5389,530.12,34.901,37.888332,inch
D130_c7_GC_6,D130,c7,GC,6,1,1,0,58.8374,58.8374,877.66,33.553,37.888332,inch
D130_d11_FL_3,D130,d11,FL,3,1,1,0,77.194,77.194,1151.48,19.994,37.888332,inch
D130_d11_FL_4,D130,d11,FL,4,21,1,20,251.0233,165.2303,3744.43,9.385,37.888332,inch
D130_d11_FL_5,D130,d11,FL,5,29,1,28,724.985,211.1657,11022.94,9.048,37.888332,inch
D130_d11_FL_6,D130,d11,FL,6,41,1,40,1271.7891,251.9163,19467.83,9.448,37.888332,inch
D130_d11_GC_4,D130,d11,GC,4,1,1,0,52.6889,52.6889,785.94,21.271,37.888332,inch
D130_d11_GC_5,D130,d11,GC,5,1,1,0,68.3669,68.3669,1019.81,21.826,37.888332,inch
D130_d11_GC_6,D130,d11,GC,6,1,1,0,101.8504,101.8504,1519.27,20.832,37.888332,inch
D130_d1_GC_3,D130,d1,GC,3,1,1,0,66.9261,66.9261,998.31,27.772,37.888332,inch
D130_d1_GC_4,D130,d1,GC,4,1,1,0,101.9038,101.9038,1520.06,27.743,37.888332,inch
D130_d1_GC_5,D130,d1,GC,5,1,1,0,110.6021,110.6021,1649.81,25.156,37.888332,inch
D130_d1_GC_6,D130,d1,GC,6,10,1,9,182.605,144.9645,2723.86,11.469,37.888332,inch
D130_d6_GC_3,D130,d6,GC,3,1,1,0,63.9495,63.9495,953.91,34.184,37.888332,inch
D130_d6_GC_4,D130,d6,GC,4,1,1,0,88.2459,88.2459,1316.33,32.282,37.888332,inch
D130_d6_GC_5,D130,d6,GC,5,1,1,0,97.7104,97.7104,1457.51,31.737,37.888332,inch
D130_d6_GC_6,D130,d6,GC,6,24,1,23,329.994,128.5619,4922.41,10.212,37.888332,inch
D130_d7_GC_3,D130,d7,GC,3,1,1,0,63.5515,63.5515,947.98,27.578,37.888332,inch
D130_d7_GC_4,D130,d7,GC,4,1,1,0,113.23,113.23,1689.01,25.237,37.888332,inch
D130_d7_GC_5,D130,d7,GC,5,1,1,0,143.7313,143.7313,2143.99,27.528,37.888332,inch
D130_d7_GC_6,D130,d7,GC,6,15,1,14,295.1653,183.986,4402.88,10.281,37.888332,inch
WT_a10_FL_3,WT,a10,FL,3,1,1,0,42.6643,42.6643,636.41,21.11,37.888332,inch
WT_a10_FL_4,WT,a10,FL,4,1,1,0,42.6643,42.6643,636.41,21.11,37.888332,inch
WT_a10_FL_5,WT,a10,FL,5,1,1,0,78.7768,78.7768,1175.09,49.713,37.888332,inch
WT_a10_FL_6,WT,a10,FL,6,8,1,7,193.7521,122.5322,2890.14,21.589,37.888332,inch
WT_a10_GC_3,WT,a10,GC,3,1,1,0,30.9376,30.9376,461.49,34.698,37.888332,inch
WT_a10_GC_4,WT,a10,GC,4,1,1,0,68.2003,68.2003,1072.0,31.389,37.888332,inch
WT_a10_GC_5,WT,a10,GC,5,1,1,0,98.6758,98.6758,1471.91,30.019,37.888332,inch
WT_a10_GC_6,WT,a10,GC,6,1,1,0,128.5919,128.5919,1918.16,28.027,37.888332,inch
WT_a3_FL_3,WT,a3,FL,3,1,1,0,55.938,55.938,834.41,32.108,37.888332,inch
WT_a3_FL_4,WT,a3,FL,4,18,1,17,238.3028,62.4205,3554.68,11.009,37.888332,inch
WT_a3_FL_5,WT,a3,FL,5,24,2,22,717.5533,81.4756,10884.19,12.197,37.888332,inch
WT_a3_FL_6,WT,a3,FL,6,27,1,26,1149.2516,86.0142,17143.0,12.276,37.888332,inch
WT_a3_GC_3,WT,a3,GC,3,1,1,0,28.9096,28.9096,431.24,44.374,37.888332,inch
WT_a3_GC_4,WT,a3,GC,4,1,1,0,54.4389,54.4389,812.05,33.551,37.888332,inch
WT_a3_GC_5,WT,a3,GC,5,1,1,0,71.5469,71.5469,1067.24,33.905,37.888332,inch
WT_a3_GC_6,WT,a3,GC,6,1,1,0,108.0974,108.0974,1612.45,28.198,37.888332,inch
WT_a5_GC_3,WT,a5,GC,3,1,1,0,43.9487,43.9487,655.57,33.585,37.888332,inch
WT_a5_GC_4,WT,a5,GC,4,1,1,0,67.7987,67.7987,1027.55,28.423,37.888332,inch
WT_a5_GC_5,WT,a5,GC,5,1,1,0,83.5577,83.5577,1246.4,25.576,37.888332,inch
WT_a5_GC_6,WT,a5,GC,6,23,1,22,271.1454,101.3783,4044.59,8.941,37.888332,inch
WT_a9_FL_3,WT,a9,FL,3,1,1,0,39.9266,39.9266,595.57,26.799,37.888332,inch
WT_a9_FL_4,WT,a9,FL,4,1,1,0,39.9266,39.9266,595.57,26.799,37.888332,inch
WT_a9_FL_5,WT,a9,FL,5,12,1,11,340.5407,83.9889,5079.73,13.792,37.888332,inch
WT_a9_FL_6,WT,a9,FL,6,18,1,17,614.4091,85.9385,9164.93,9.975,37.888332,inch
WT_a9_GC_3,WT,a9,GC,3,1,1,0,67.5826,67.5826,1008.11,26.778,37.888332,inch
WT_a9_GC_4,WT,a9,GC,4,1,1,0,107.4649,107.4649,1603.02,13.73,37.888332,inch
WT_a9_GC_5,WT,a9,GC,5,1,1,0,116.6779,116.6779,1740.44,21.525,37.888332,inch
WT_a9_GC_6,WT,a9,GC,6,20,1,19,270.689,150.0233,4037.78,8.785,37.888332,inch
WT_b10_FL_3,WT,b10,FL,3,1,1,0,34.1946,34.1946,510.07,2.154,37.888332,inch
WT_b10_FL_4,WT,b10,FL,4,1,1,0,34.1946,34.1946,510.07,2.154,37.888332,inch
WT_b10_FL_5,WT,b10,FL,5,1,1,0,75.7724,75.7724,1130.27,10.888,37.888332,inch
WT_b10_FL_6,WT,b10,FL,6,1,1,0,121.9258,121.9258,1818.73,21.434,37.888332,inch
WT_b3_FL_3,WT,b3,FL,3,1,1,0,32.4263,32.4263,483.69,2.425,37.888332,inch
WT_b3_FL_4,WT,b3,FL,4,1,1,0,32.4263,32.4263,483.69,2.425,37.888332,inch
WT_b3_FL_5,WT,b3,FL,5,17,1,16,419.3137,46.7983,6305.55,8.526,37.888332,inch
WT_b3_FL_6,WT,b3,FL,6,17,1,16,723.5435,63.2837,11018.35,10.258,37.888332,inch
WT_b3_GC_3,WT,b3,GC,3,1,1,0,62.5626,62.5626,933.23,33.375,37.888332,inch
WT_b3_GC_4,WT,b3,GC,4,1,1,0,107.8177,107.8177,1608.28,32.269,37.888332,inch
WT_b3_GC_5,WT,b3,GC,5,1,1,0,114.6433,114.6433,1710.1,26.87,37.888332,inch
WT_b3_GC_6,WT,b3,GC,6,8,1,7,175.4022,136.3248,2616.42,9.623,37.888332,inch
WT_b5_FL_3,WT,b5,FL,3,1,1,0,27.3859,27.3859,408.51,6.115,37.888332,inch
WT_b5_FL_4,WT,b5,FL,4,1,1,0,27.3859,27.3859,408.51,6.115,37.888332,inch
WT_b9_FL_3,WT,b9,FL,3,1,1,0,61.9486,61.9486,924.07,18.994,37.888332,inch
WT_b9_FL_4,WT,b9,FL,4,1,1,0,61.9486,61.9486,924.07,18.994,37.888332,inch
WT_b9_FL_5,WT,b9,FL,5,28,1,27,455.4123,152.0348,6793.23,10.333,37.888332,inch
WT_b9_FL_6,WT,b9,FL,6,36,1,35,870.1097,125.2246,13027.29,8.793,37.888332,inch
WT_b9_GC_3,WT,b9,GC,3,1,1,0,66.4485,66.4485,991.19,33.946,37.888332,inch
WT_c10_FL_3,WT,c10,FL,3,1,1,0,44.7188,44.7188,667.06,12.197,37.888332,inch
WT_c10_FL_4,WT,c10,FL,4,1,1,0,54.9307,54.9307,819.38,10.63,37.888332,inch
WT_c10_FL_5,WT,c10,FL,5,27,1,26,405.8242,70.8204,6053.54,8.192,37.888332,inch
WT_c10_FL_6,WT,c10,FL,6,27,1,26,946.9169,102.2245,14124.84,11.051,37.888332,inch
WT_c10_GC_3,WT,c10,GC,3,1,1,0,41.6215,41.6215,620.85,29.8,37.888332,inch
WT_c10_GC_4,WT,c10,GC,4,1,1,0,69.6867,69.6867,1039.49,30.878,37.888332,inch
WT_c10_GC_5,WT,c10,GC,5,1,1,0,78.1228,78.1228,1165.33,12.557,37.888332,inch
WT_c10_GC_6,WT,c10,GC,6,7,1,6,111.9153,92.3333,1669.4,9.135,37.888332,inch
WT_c3_FL_3,WT,c3,FL,3,1,1,0,114.8895,114.8895,1713.77,9.935,37.888332,inch
WT_c3_FL_4,WT,c3,FL,4,33,1,32,494.0796,152.1543,7370.02,6.627,37.888332,inch
WT_c3_FL_5,WT,c3,FL,5,56,1,55,1278.7187,158.7597,19074.22,8.363,37.888332,inch
WT_c3_FL_6,WT,c3,FL,6,56,1,55,1765.3308,193.028,26383.98,9.359,37.888332,inch
WT_c3_GC_3,WT,c3,GC,3,1,1,0,65.9636,65.9636,983.96,30.33,37.888332,inch
WT_c3_GC_4,WT,c3,GC,4,1,1,0,115.009,115.009,1715.55,31.593,37.888332,inch
WT_c3_GC_5,WT,c3,GC,5,1,1,0,122.5839,122.5839,1828.54,27.732,37.888332,inch
WT_c3_GC_6,WT,c3,GC,6,1,1,0,162.2462,162.2462,2420.17,27.478,37.888332,inch
WT_c5_GC_3,WT,c5,GC,3,1,1,0,52.2882,52.2882,779.97,41.025,37.888332,inch
WT_c5_GC_4,WT,c5,GC,4,1,1,0,86.8724,86.8724,1295.85,38.649,37.888332,inch
WT_c5_GC_6,WT,c5,GC,6,9,1,8,228.8355,137.209,3413.46,14.773,37.888332,inch
WT_c9_FL_3,WT,c9,FL,3,1,1,0,93.3513,93.3513,1392.49,7.902,37.888332,inch
WT_c9_FL_4,WT,c9,FL,4,48,1,47,665.8268,105.6808,9931.92,8.706,37.888332,inch
WT_c9_FL_5,WT,c9,FL,5,49,2,47,1900.0986,159.6312,28343.14,11.002,37.888332,inch
WT_c9_GC_3,WT,c9,GC,3,1,1,0,53.8045,53.8045,802.58,23.905,37.888332,inch
WT_c9_GC_5,WT,c9,GC,5,1,1,0,108.2395,108.2395,1614.57,26.785,37.888332,inch
WT_c9_GC_6,WT,c9,GC,6,1,1,0,138.3918,138.3918,2064.34,22.668,37.888332,inch
WT_d10_FL_3,WT,d10,FL,3,1,1,0,53.317,53.317,795.31,40.394,37.888332,inch
WT_d10_FL_4,WT,d10,FL,4,1,1,0,65.6324,65.6324,979.02,30.683,37.888332,inch
WT_d10_FL_5,WT,d10,FL,5,1,1,0,85.2944,85.2944,1272.31,31.328,37.888332,inch
WT_d10_FL_6,WT,d10,FL,6,18,1,17,350.328,102.8971,5225.73,10.408,37.888332,inch
WT_d3_FL_3,WT,d3,FL,3,1,1,0,37.5078,37.5078,559.49,27.72,37.888332,inch
WT_d3_FL_4,WT,d3,FL,4,12,1,11,129.1143,40.4371,1972.04,18.246,37.888332,inch
WT_d3_FL_5,WT,d3,FL,5,15,1,14,506.7725,51.9571,7608.03,13.191,37.888332,inch
WT_d3_FL_6,WT,d3,FL,6,15,1,14,745.3747,37.528,11953.8,12.037,37.888332,inch
WT_d3_GC_3,WT,d3,GC,3,1,1,0,65.0975,65.0975,971.04,24.061,37.888332,inch
WT_d3_GC_4,WT,d3,GC,4,1,1,0,100.0282,100.0282,1492.09,24.507,37.888332,inch
WT_d3_GC_5,WT,d3,GC,5,1,1,0,123.8515,123.8515,1847.45,22.286,37.888332,inch
WT_d3_GC_6,WT,d3,GC,6,20,1,19,252.8532,161.119,3771.73,6.903,37.888332,inch
WT_d5_FL_3,WT,d5,FL,3,1,1,0,93.3513,93.3513,1392.49,7.902,37.888332,inch
WT_d5_FL_4,WT,d5,FL,4,3,2,1,211.3991,198.1751,3153.37,3.803,37.888332,inch
WT_d5_FL_5,WT,d5,FL,5,23,2,21,569.4838,210.4978,8830.48,8.865,37.888332,inch
WT_d5_FL_6,WT,d5,FL,6,25,1,24,867.1175,216.3345,13476.84,9.118,37.888332,inch
WT_d9_GC_6,WT,d9,GC,6,14,1,13,212.9136,149.2144,3175.96,8.164,37.888332,inch
